,country,article,deviation
0,Austria,LAWFULNESS OF PROCESSING (ART 6),No
1,Austria,CHILD'S CONSENT (ART 8),Yes
2,Austria,"SENSITIVE DATA (GENETIC, BIOMETRIC AND HEALTH DATA) (ART 9(4))",No
3,Austria,CRIMINAL CONVICTIONS/SECURITY MEASURES (ART 10),Yes
4,Austria,AUTOMATED INDIVIDUAL DECISION MAKING (ART 22),No
5,Austria,RESTRICTIONS TO DATA SUBJECT'S RIGHTS (ART 23),Yes
6,Austria,JOINT CONTROLLER RESPONSIBILITIES (ART 26 (1)),No
7,Austria,AD HOC NOTIFICATIONS - RECORDS OF PROCESSING ACTIVITIES (ART 30),Yes
8,Austria,SECURITY OF PROCESSING (ART 32),Yes
9,Austria,DATA BREACH (ART 33 & 34),No
10,Austria,DATA PROTECTION OFFICER (ART 37(4)),Yes
11,Austria,DATA TRANSFER DEROGATIONS (ART 49(5)),No
12,Austria,POWERS OF SUPERVISORY AUTHORITIES (ART 58),Yes
13,Austria,CLASS ACTIONS (ART 80 (2)),Yes
14,Austria,ADMINISTRATIVE SANCTIONS (ART 83),Yes
15,Austria,PENALTIES (ART 84),No
16,Austria,HR PROCESSING (ART 88),Yes
17,Austria,"PROCESSING FOR ARCHIVING, SCIENTIFIC, HISTORICAL RESEARCH OR STATISTICAL PURPOSES (ART 89)",Yes
18,Austria,OBLIGATIONS OF SECRECY (ART 90),Yes
19,Austria,LOCAL DPA GUIDANCE AND LEGAL SOURCES,Yes
20,Belgium,LAWFULNESS OF PROCESSING (ART 6),No
21,Belgium,CHILD'S CONSENT (ART 8),No
22,Belgium,"SENSITIVE DATA (GENETIC, BIOMETRIC AND HEALTH DATA) (ART 9(4))",No
23,Belgium,CRIMINAL CONVICTIONS/SECURITY MEASURES (ART 10),No
24,Belgium,AUTOMATED INDIVIDUAL DECISION MAKING (ART 22),No
25,Belgium,RESTRICTIONS TO DATA SUBJECT'S RIGHTS (ART 23),No
26,Belgium,JOINT CONTROLLER RESPONSIBILITIES (ART 26 (1)),No
27,Belgium,AD HOC NOTIFICATIONS - RECORDS OF PROCESSING ACTIVITIES (ART 30),No
28,Belgium,SECURITY OF PROCESSING (ART 32),No
29,Belgium,DATA BREACH (ART 33 & 34),No
30,Belgium,DATA PROTECTION OFFICER (ART 37(4)),No
31,Belgium,DATA TRANSFER DEROGATIONS (ART 49(5)),No
32,Belgium,POWERS OF SUPERVISORY AUTHORITIES (ART 58),Yes
33,Belgium,CLASS ACTIONS (ART 80 (2)),Yes
34,Belgium,ADMINISTRATIVE SANCTIONS (ART 83),Yes
35,Belgium,PENALTIES (ART 84),No
36,Belgium,HR PROCESSING (ART 88),No
37,Belgium,"PROCESSING FOR ARCHIVING, SCIENTIFIC, HISTORICAL RESEARCH OR STATISTICAL PURPOSES (ART 89)",No
38,Belgium,OBLIGATIONS OF SECRECY (ART 90),No
39,Belgium,LOCAL DPA GUIDANCE AND LEGAL SOURCES,Yes
40,Belgium,REMARKS,Yes
41,Croatia ,SME EXCEPTION,No
42,Croatia ,LAWFULNESS OF PROCESSING (ART 6),No
43,Croatia ,CHILD'S CONSENT (ART 8),Yes
44,Croatia ,"SENSITIVE DATA (GENETIC, BIOMETRIC AND HEALTH DATA) (ART 9(4))",Yes
45,Croatia ,CCTV (ART 6),Yes
46,Croatia ,CRIMINAL CONVICTIONS/SECURITY MEASURES (ART 10),No
47,Croatia ,INFORMATION OBLIGATION (ART 13 & 14),No
48,Croatia ,AUTOMATED INDIVIDUAL DECISION MAKING (ART 22),No
