,Advertisements,Not_In_Favor,Feelings_PI,Companies_Know_You,GDPR_provisions
0,No,I am concerned about companies misusing my data;I am concerned about companies not protecting my data from hackers;I just don't like companies watching what I do online,I think that they mostly want to use our data in a responsible and secure way . . . but they are bad at it;I don't think that they care about using our data responsibly or securely at all,Yes,"The right to ask companies to delete the data they have on me;The right to ask what is being done with my data;The ability to control how my data is being used;The ability to complain when my data is misused, which could result in steep fines for the offending company"
1,"Yes, as long as they protect and use my data responsibly",I am concerned about companies misusing my data;I am concerned about companies not protecting my data from hackers,I think that they mostly want to use our data in a responsible and secure way . . . but they are bad at it,Yes,"The right to ask companies to delete the data they have on me;The right to ask what is being done with my data;The ability to control how my data is being used;The ability to complain when my data is misused, which could result in steep fines for the offending company"
2,No,I am concerned about companies misusing my data;I am concerned about companies not protecting my data from hackers;I just don't like companies watching what I do online,I don't think that they care about using our data responsibly or securely at all,Yes,"The right to ask companies to delete the data they have on me;The right to ask what is being done with my data;The ability to control how my data is being used;The ability to complain when my data is misused, which could result in steep fines for the offending company"
3,No,I just don't like companies watching what I do online,Why should some one watch me daily.at granular level.do i need police,Yes,"The right to ask companies to delete the data they have on me;The right to ask what is being done with my data;The ability to complain when my data is misused, which could result in steep fines for the offending company"
4,No,I am concerned about companies misusing my data;I am concerned about companies not protecting my data from hackers,I don't think that they care about using our data responsibly or securely at all,Yes,"The right to ask companies to delete the data they have on me;The right to ask what is being done with my data;The ability to control how my data is being used;The ability to complain when my data is misused, which could result in steep fines for the offending company"
5,No,I am concerned about companies misusing my data;I just don't like companies watching what I do online,I don't think that they care about using our data responsibly or securely at all,Yes,"The right to ask companies to delete the data they have on me;The right to ask what is being done with my data;The ability to control how my data is being used;The ability to complain when my data is misused, which could result in steep fines for the offending company"
6,No,I just don't like companies watching what I do online,I don't think that they care about using our data responsibly or securely at all,Yes,"The right to ask companies to delete the data they have on me;The right to ask what is being done with my data;The ability to control how my data is being used;The ability to complain when my data is misused, which could result in steep fines for the offending company"
7,"Yes, as long as they protect and use my data responsibly",,I don't think that they care about using our data responsibly or securely at all,Yes,"The right to ask companies to delete the data they have on me;The right to ask what is being done with my data;The ability to control how my data is being used;The ability to complain when my data is misused, which could result in steep fines for the offending company"
8,No,I am concerned about companies not protecting my data from hackers,I think that they mostly want to use our data in a responsible and secure way . . . but they are bad at it,Yes,"The right to ask companies to delete the data they have on me;The right to ask what is being done with my data;The ability to control how my data is being used;The ability to complain when my data is misused, which could result in steep fines for the offending company"
9,No,I just don't like companies watching what I do online,I think that they mostly want to use our data in a responsible and secure way . . . but they are bad at it,Yes,"The ability to control how my data is being used;The ability to complain when my data is misused, which could result in steep fines for the offending company"
10,No,I just don't like companies watching what I do online,I think they care more about profit than privacy.,Yes,"The right to ask companies to delete the data they have on me;The right to ask what is being done with my data;The ability to control how my data is being used;The ability to complain when my data is misused, which could result in steep fines for the offending company;The right to search without it being recorded."
11,No,I am concerned about companies misusing my data;I am concerned about companies not protecting my data from hackers;I just don't like companies watching what I do online,I don't think that they care about using our data responsibly or securely at all,Yes,"The right to ask companies to delete the data they have on me;The right to ask what is being done with my data;The ability to control how my data is being used;The ability to complain when my data is misused, which could result in steep fines for the offending company"
12,No,I am concerned about companies misusing my data,I don't think that they care about using our data responsibly or securely at all,Yes,"The right to ask companies to delete the data they have on me;The right to ask what is being done with my data;The ability to control how my data is being used;The ability to complain when my data is misused, which could result in steep fines for the offending company"
13,"Yes, as long as they protect and use my data responsibly",,I don't think that they care about using our data responsibly or securely at all,Yes,"The right to ask companies to delete the data they have on me;The ability to control how my data is being used;The ability to complain when my data is misused, which could result in steep fines for the offending company"
14,Unsure,I am concerned about companies misusing my data,I think that they mostly want to use our data in a responsible and secure way . . . but they are bad at it,No,"The right to ask companies to delete the data they have on me;The right to ask what is being done with my data;The ability to control how my data is being used;The ability to complain when my data is misused, which could result in steep fines for the offending company"
